Ids,Sentiment,Sarcasm,Vulgar,Abuse,Target
image_ben_3635.jpg,Neutral,Sarcastic,Non Vulgar,Abusive,Gender
image_ben_1586.png,Negative,Sarcastic,Non Vulgar,Abusive,Gender
image_ben_4040.jpg,Negative,Sarcastic,Non Vulgar,Abusive,Gender
image_ben_5074.jpg,Neutral,Sarcastic,Non Vulgar,Abusive,Gender
image_ben_7351.jpg,Negative,Sarcastic,Vulgar,Abusive,Gender
image_ben_3945.jpg,Neutral,Sarcastic,Non Vulgar,Abusive,Gender
image_ben_4715.jpg,Negative,Sarcastic,Vulgar,Abusive,Gender
image_ben_4801.jpg,Positive,Sarcastic,Non Vulgar,Abusive,Gender
image_ben_7196.jpg,Negative,Sarcastic,Non Vulgar,Abusive,Gender
image_ben_4743.jpg,Negative,Sarcastic,Vulgar,Abusive,Gender
image_ben_3763.jpg,Negative,Non-Sarcastic,Vulgar,Abusive,Gender
image_ben_3760.jpg,Negative,Sarcastic,Non Vulgar,Abusive,Gender
image_ben_2938.png,Negative,Sarcastic,Vulgar,Abusive,Gender
image_ben_4829.jpg,Negative,Non-Sarcastic,Vulgar,Abusive,Gender
image_ben_1433.png,Negative,Sarcastic,Vulgar,Abusive,Gender
image_ben_3611.jpg,Neutral,Sarcastic,Vulgar,Abusive,Gender
image_ben_1658.png,Negative,Sarcastic,Non Vulgar,Abusive,Gender
image_ben_4541.jpg,Negative,Non-Sarcastic,Vulgar,Abusive,Gender
image_ben_5024.jpg,Negative,Non-Sarcastic,Vulgar,Abusive,Gender
image_ben_3586.jpg,Neutral,Sarcastic,Non Vulgar,Abusive,Gender
image_ben_1665.png,Negative,Sarcastic,Non Vulgar,Abusive,Gender
image_ben_5081.jpg,Neutral,Non-Sarcastic,Non Vulgar,Abusive,Gender
image_ben_1336.png,Negative,Sarcastic,Vulgar,Abusive,Gender
image_ben_4042.jpg,Negative,Non-Sarcastic,Vulgar,Abusive,Gender
image_ben_4845.jpg,Negative,Non-Sarcastic,Non Vulgar,Abusive,Gender
image_ben_3058.png,Negative,Non-Sarcastic,Vulgar,Abusive,Gender
image_ben_4479.jpg,Negative,Sarcastic,Vulgar,Abusive,Gender
image_ben_1443.png,Neutral,Non-Sarcastic,Vulgar,Abusive,Gender
image_ben_4854.jpg,Neutral,Non-Sarcastic,Vulgar,Abusive,Gender
image_ben_1464.png,Negative,Sarcastic,Vulgar,Abusive,Gender
image_ben_4822.jpg,Positive,Sarcastic,Non Vulgar,Abusive,Gender
image_ben_3395.jpg,Neutral,Sarcastic,Non Vulgar,Abusive,Gender
image_ben_4741.jpg,Negative,Sarcastic,Vulgar,Abusive,Gender
image_ben_4706.jpg,Negative,Sarcastic,Vulgar,Abusive,Gender
image_ben_7295.jpg,Negative,Sarcastic,Vulgar,Abusive,Gender
image_ben_4689.jpg,Negative,Non-Sarcastic,Vulgar,Abusive,Gender
image_ben_3702.jpg,Neutral,Sarcastic,Vulgar,Abusive,Gender
image_ben_1686.png,Negative,Sarcastic,Non Vulgar,Abusive,Gender
image_ben_1701.png,Negative,Sarcastic,Vulgar,Abusive,Gender
image_ben_4589.jpg,Negative,Sarcastic,Non Vulgar,Abusive,Gender
image_ben_3944.jpg,Negative,Non-Sarcastic,Vulgar,Abusive,Gender
image_ben_2556.png,Negative,Sarcastic,Non Vulgar,Abusive,Gender
image_ben_1436.png,Negative,Sarcastic,Vulgar,Abusive,Gender
image_ben_4841.jpg,Negative,Non-Sarcastic,Vulgar,Abusive,Gender
image_ben_3310.jpg,Negative,Sarcastic,Vulgar,Abusive,Gender
image_ben_1424.png,Positive,Sarcastic,Non Vulgar,Abusive,Gender
image_ben_4846.jpg,Positive,Sarcastic,Non Vulgar,Abusive,Gender
image_ben_3703.jpg,Neutral,Sarcastic,Vulgar,Abusive,Gender
image_ben_1489.png,Negative,Sarcastic,Vulgar,Abusive,Gender
image_ben_1594.png,Negative,Sarcastic,Non Vulgar,Abusive,Gender
image_ben_5254.jpg,Neutral,Sarcastic,Non Vulgar,Abusive,Gender
image_ben_4010.jpg,Negative,Sarcastic,Vulgar,Abusive,Gender
image_ben_3901.jpg,Negative,Non-Sarcastic,Vulgar,Abusive,Gender
image_ben_4631.jpg,Negative,Non-Sarcastic,Vulgar,Abusive,Gender
image_ben_1909.png,Negative,Sarcastic,Vulgar,Abusive,Gender
image_ben_4044.jpg,Negative,Non-Sarcastic,Vulgar,Abusive,Gender
image_ben_7453.jpg,Negative,Sarcastic,Vulgar,Abusive,Gender
image_ben_3909.jpg,Negative,Sarcastic,Vulgar,Abusive,Gender
image_ben_3695.jpg,Positive,Sarcastic,Non Vulgar,Abusive,Gender
image_ben_4263.jpg,Negative,Non-Sarcastic,Non Vulgar,Abusive,Gender
image_ben_4894.jpg,Positive,Sarcastic,Non Vulgar,Abusive,Gender
image_ben_5072.jpg,Neutral,Sarcastic,Non Vulgar,Abusive,Gender
image_ben_7369.jpg,Negative,Sarcastic,Vulgar,Abusive,"Gender, Individual"
image_ben_3318.jpg,Neutral,Sarcastic,Non Vulgar,Abusive,"Gender, Individual"
image_ben_7272.jpg,Negative,Sarcastic,Vulgar,Abusive,"Gender, Individual"
image_ben_7366.jpg,Negative,Sarcastic,Vulgar,Abusive,"Gender, Individual"
image_ben_4709.jpg,Negative,Sarcastic,Vulgar,Abusive,"Gender, Individual"
image_ben_3348.jpg,Negative,Sarcastic,Non Vulgar,Abusive,"Gender, Individual"
image_ben_3309.jpg,Negative,Sarcastic,Vulgar,Abusive,"Gender, Individual"
image_ben_3174.png,Negative,Sarcastic,Non Vulgar,Abusive,"Gender, Individual, Political"
image_ben_676.png,Negative,Sarcastic,Vulgar,Abusive,"Gender, Individual, Political, Religion"
