Ids,Sentiment,Sarcasm,Vulgar,Abuse,Target,OCR
image_bodo_87.jpg,Negative,Sarcastic,Vulgar,Abusive,Individual,Bese one mwn ang bikow ctwb buji tara L...dwi begor ah
image_bodo_309.jpg,Negative,Sarcastic,Vulgar,Abusive,Gender,Kokrajhar थंआलि Chirang खान्दा खान्दा गानग्रा Baksa दखना गानग्रा Udalguri लेबेल बारा
image_bodo_18.jpg,Negative,Sarcastic,Vulgar,Abusive,Gender,बर'नि गिबिसिन सोर आयजोआ बेसेबां मायथाइआव बबे हाजोआव हासुदोंमोन ?
image_bodo_140.jpg,Positive,Sarcastic,Non Vulgar,Abusive,None,Bab re one week mwjang mwnlai naiyao nw cover photo dwnna lalaibaobai
image_bodo_200.jpg,Negative,Sarcastic,Vulgar,Abusive,Gender,थैनानै गोदान जोनोम जाबाथाय मोसौ जागोन आं मोसौ नोंसोर लाय
image_bodo_318.jpg,Negative,Sarcastic,Vulgar,Abusive,Gender,दानि जुगाव ऩगीुगल सिख्ला नागिरनाय आरो साल- खुन्थानि रोदा नागिरनाय एखे बाथ्रा
image_bodo_630.jpg,Negative,Sarcastic,Vulgar,Abusive,Gender,Comment Raja ADRE- akhaijwng damgra rwonia exam Swmaoshar Basumatary adre abu rwngywipwrni exam Munn Basu Ultra Pro Max ha ha ha right Mithisar Wary Ultra pro Max Wow
image_bodo_575.jpg,Positive,Sarcastic,Vulgar,Abusive,Gender,सायोबो नामा माथो आआ उ आ होनलायथारो सायोब्ला मानोथो गोदान गोदान नागिरबावो माखासेया
image_bodo_632.jpg,Negative,Sarcastic,Vulgar,Abusive,Gender,Oitachar comment Cereio jMiuucha Uwaneiang Cpaya jaa guar ngan lepw lwpw Doka Gala Rojo jwb baina ? Na Bidinw dabw ? रोनाव फाग्ला Thaso bibar ngkow viral janainipwrwi birat posaigra jabai ang
image_bodo_546.jpg,Negative,Sarcastic,Vulgar,Abusive,Gender,आथसा गोलाव गोलाव नागिरोब्ला लाय माथो गसुंजोंबो आआआ... आइदै साबाय होनो गरायफोर
image_bodo_479.jpg,Positive,Sarcastic,Non Vulgar,Abusive,None,बासआवबा दुगैआखै नोंसोर माखौबा LEVEL देखायगासिनो हनै
image_bodo_189.jpg,Positive,Sarcastic,Non Vulgar,Abusive,None,Engine pwranw lorgo torgo jajwbai dang manc pwr na lwngnanwi
image_bodo_28.jpg,Negative,Sarcastic,Vulgar,Abusive,Gender,saize saize ckla pwra duga jngnw memes shere klm laiya bra kela
image_bodo_625.jpg,Negative,Sarcastic,Vulgar,Abusive,Gender,Rahul Boro Hit nwngya mala busa sa sw
image_bodo_591.jpg,Positive,Sarcastic,Non Vulgar,Abusive,None,दाम गोसानि गारि सामलायनाय महर गोसा हिनजाव सामलायनाय एखे
image_bodo_454.jpg,Positive,Sarcastic,Non Vulgar,Abusive,Gender,2024 आव हौवा खारनाइ JSNUSRY  सिमआव सा 4
image_bodo_338.jpg,Positive,Sarcastic,Non Vulgar,Abusive,Gender,DOLLER PAYMENT HABBA MATW ADWIMWNA WNKAM WNGKRI SONGNANGGWONW
image_bodo_592.jpg,Positive,Sarcastic,Non Vulgar,Abusive,None,"गामिफोराव ओरैबादि मानसि थायो बिसोर मालायनि हानि सिमाखौ नागारनानै जोबोद मोजां मोनो । बिदि मानसिफोरखौ भुटान, बांग्लादेश आरो पाकिस्ताननि सिमायाव लांना न लुना दोनहैब्ला दाहालागै खावसे हायानो भारतनि जागौमोन "
image_bodo_24.jpg,Negative,Sarcastic,Vulgar,Abusive,Gender,सिख्लाफोरनि फान्थाब फुन्थाब द्रेस गान्नाय नुनायावसो गरम जाखो ना बोथोरानो गरमखा जाखोब्रा
image_bodo_337.jpg,Negative,Sarcastic,Vulgar,Abusive,None,नों हिनजावबा बिराद बैथालि जागौमोन
image_bodo_15.jpg,Negative,Sarcastic,Non Vulgar,Abusive,Gender,लामायाव सेंग्राफोर नुब्ला गेसाव खिफिना होलांनाय हुदाखौ गार नोंसोर M आरो P
image_bodo_12.jpg,Negative,Sarcastic,Non Vulgar,Abusive,None,आंनि हिन्जाव आं आंनि बिखुनजो
image_bodo_27.jpg,Negative,Sarcastic,Non Vulgar,Abusive,Gender,Gwsw twnai Gwnangkha nuba like hwnw bayw Lang Kela barakwoba
image_bodo_6.jpg,Negative,Sarcastic,Non Vulgar,Abusive,Gender,"सिख्लाफोरा जेसेबांनोखि समायना, लेखा गोरोंआनो जायाथों मानो जेब्लाबो हौवानि सिङावसो थाखानांगौ"
image_bodo_19.jpg,Negative,Sarcastic,Non Vulgar,Abusive,None,मालायखौ मा बुनो गावनि असे लोगोफोरानो Like होआ माथो
image_bodo_604.jpg,Positive,Sarcastic,Non Vulgar,Abusive,None,jarla lwi comment prabw Thanks All Boibw Naidw Share khalam dw onna Nwi Full video Pwigwn senw Angni Mithinga Vlog Channel aw nw Nugwn Nice Very Nice Nice jwngni boro abo ada mwn somaina pwr ka
image_bodo_626.jpg,Negative,Sarcastic,Vulgar,Abusive,Gender,Bom Lom Bro Ag hala ... Marwi sikwmn rojo lainai.. Mancpra undwi gotopwrni acting kalmna gabnw hayw jatari Kamanipwrni sayao
